buyer_id,seller_id,relationship_score
00d14bc0c0d1023adc53c3b0c09eb10872304954d4afbf097bc9af803556a178,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
00d519e116d0b86b667e22789bd01074599bf21ec75a5bc4b432db00756bfde0,00d519e116d0b86b667e22789bd01074599bf21ec75a5bc4b432db00756bfde0,2
00da88547d1ad4ed7b39b0a1aa271bd3c8e649150ad368663411e1d66cf5b843,00da88547d1ad4ed7b39b0a1aa271bd3c8e649150ad368663411e1d66cf5b843,1
00e660a9a953cd58c58cdc1b32913a4a734062cafbb306c762e3b3e7b920a531,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
00f44ad324bbe1aabef93ffd615b3516494383f43374f12625289ed89ca5dfd1,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
00fa6b6462292e46b3c505deda9bb20f6c4de7e8bb396f29de95af55c94bab45,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0104836daa6e1e44af47e550530b445a46ff5f21dc3464267d5e131bef376232,0104836daa6e1e44af47e550530b445a46ff5f21dc3464267d5e131bef376232,3
010c76c0af993b89b129a74f41a648737e1ceee6d0ef1e4305a9bfafc2483120,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
010de16e1d849e7cf982688a18d21a1a019e6289400cf083375469b65249d359,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
011560d67f012e630b95d980c00791c9836c6b1bf41697882c3b4ac5a74e35b8,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0117412d194bc1548e6b6570267946866988c18aac0dfdbdc8ba5599fefbec0d,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
011b3f437b48a97d130245ca20af1cc24d3bed36592dd20e115629a7d75a4560,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
011b3f437b48a97d130245ca20af1cc24d3bed36592dd20e115629a7d75a4560,f82b42e4c70a955a63e2c4b2d8aeedb402f83707b7aaf497a2287f42453ef553,1
0123e0e4d335a23cda9b03fec93466c5ea8747f91539c34376a6b6ead693333f,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
012512964670dd7a87cf1c60f3af1fffe3f74ac7dd07ba87bcbdd32a74303002,012512964670dd7a87cf1c60f3af1fffe3f74ac7dd07ba87bcbdd32a74303002,1
012fbfd43a8bf75ba47e2905e00f29d99805d00e8dbee122b5c2cee3c3b4ffbd,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
013deb8ce7018154d91d139d691765345d77f3b556bd89e937469a06ad3392db,013deb8ce7018154d91d139d691765345d77f3b556bd89e937469a06ad3392db,1
013e74af2dd8e9b3cc188514299354473772a4d6138e32e53719e89fbf8c93d3,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
013f1f2b01669f49d3e7c211684e589808b022f46068666a479b37ad2372b33f,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
014610c64bc522c535ff4d94ea82daa11eca46bb3064e13a79883184623fa67a,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
014ddcec82a04888a858d79a8faa06193987880b12dd99e650695b8d611dbce1,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
01500c993788e200aeb9e357b697e256be28931b3f07fc0aaa316de606b5231c,59c74c32b95e3b8857cc8a9c4279c251ae42b6faa51eeda65c88a68f9a8d3bc4,1
0155d1a998ec97da301425ef8342d796747e4866e268cb8c56a9169964ded0e9,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0156ed4bf9c149e83bf588d2dfca25511b6fd60194293885fb1696181f9e9398,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
015b1ddde328094768a380fb7bf2015f9c1febfdc82ec1c47f3e2dd5d83419f5,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
015ca49ccb2c3ff7c0109711d6ec35e5fca618b70113b08f0ba7fd57d95bfb50,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
015d296d9c449c77162e86b7c6d5a532dddfcac839efccec0db0f99eb17b1547,015d296d9c449c77162e86b7c6d5a532dddfcac839efccec0db0f99eb17b1547,1
015d296d9c449c77162e86b7c6d5a532dddfcac839efccec0db0f99eb17b1547,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0160427d37844f3be2c9252e9988ed4424df58265ad84a566e5439679b9357d6,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01683e31f142af875afc73606c31c1878f4a72a54e6eb61a8db3ecf261b1d1b5,01683e31f142af875afc73606c31c1878f4a72a54e6eb61a8db3ecf261b1d1b5,1
016c3f09c5a0768cba9ff70735451a2b46a99996d8340d1696f60e54dc88a9fb,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
016d406ab9af78de269e2b874a01887c7f76f968b4357bb6164996d336a95a0f,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01790164391fcef1ff8b1a5841356acca766f7544b4757a3a266478ccf530770,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
017f8987ebcef492fba3a9771788706d3102987f3f8a90f4be05d8610a3e3e30,017f8987ebcef492fba3a9771788706d3102987f3f8a90f4be05d8610a3e3e30,1
018dc8adcbc41894bd9f05fbecf09ced14a1e5d4b09e2a0a1678b79c87b4b283,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
018ee28110f471a4a4b1a4f7dd4e2c9a24792fc4d66a868545bf41ab1c8f453b,018ee28110f471a4a4b1a4f7dd4e2c9a24792fc4d66a868545bf41ab1c8f453b,1
01acd0f324b5fa9e8cf59c98f202111ffe2cdc51a86ed63a262fac1209a8514a,01acd0f324b5fa9e8cf59c98f202111ffe2cdc51a86ed63a262fac1209a8514a,2
01acd0f324b5fa9e8cf59c98f202111ffe2cdc51a86ed63a262fac1209a8514a,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
01bd02e2ec88f5660aa231344a7a2ad30c477e104701fea597bd5a77a97a83a8,01bd02e2ec88f5660aa231344a7a2ad30c477e104701fea597bd5a77a97a83a8,2
01c1c451ce73ec36b335b50ebae914409860c4be0eb82040779b37b98bfb60ee,01c1c451ce73ec36b335b50ebae914409860c4be0eb82040779b37b98bfb60ee,1
01c984ce7e2d8a6d1b41cbdfbecb1ec856d372665fa2d21c82955df3f9cca023,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01cae78f7f38978e15dd3d51390c8aa56b15c2246737ee2461bd886878afc4ad,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01d884b3a306a8621df8baba1fa4bc7fb8352968225307d0a2af623f1012d1ba,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
01e6246b7d5dbc9f7f6f70aeed4dc4f22277847d2cfc52e8072138e484e9de16,01e6246b7d5dbc9f7f6f70aeed4dc4f22277847d2cfc52e8072138e484e9de16,1
01e6c9c14ca326941fbcb0f1502a4f7101b584f41d2333f9f3f34625ae1a9596,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01f08fd363aa88d684ce388a06859bf79ff3c044637d81ebc3a8c0196e32e060,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01f212428ef1efa7b5f1486df337dc0c4f9584e186c87617b51ef6bac255a2db,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01f58bf614be058f55b6515bad6ea8daf0019a19563ff69a4c8c79bbacf2d12f,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
01f5993f23750e36a6f9e759988cbbca36e27c0a36473bb8a3c33c365afd7913,01f5993f23750e36a6f9e759988cbbca36e27c0a36473bb8a3c33c365afd7913,2
01f7e2ca497421c139c5f5ae8d394ad27f1f4684c04d5951e649af4d2dde6692,01f7e2ca497421c139c5f5ae8d394ad27f1f4684c04d5951e649af4d2dde6692,1
022d24223164510529256398feee0e0da425daa5c0a7445b0b9e334fb02b2f79,022d24223164510529256398feee0e0da425daa5c0a7445b0b9e334fb02b2f79,2
022f82dacd8c1fbe67bfb5759c0ac331556b20a8bc7b629988c101f256f929bb,022f82dacd8c1fbe67bfb5759c0ac331556b20a8bc7b629988c101f256f929bb,1
023abaa638d920054eaa32cf4bf7205093474195f4d1dc0b8a82a534d299fd4c,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
023f851f74a2169df477e339fe3f8bfe97f49858d19aa3f1af6541272aa97525,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
024262d49565f910dc1e05fe36b672c436216c98a1f9dd8164a2984ff4e542b2,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
02441a616db0084b34b7271705ef6acdd0a94a5dc13f4ab60360299ceb609d19,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0244da814116b948c2d1ec5a7f6e3411a96be82270ab4ea4d4e4a5ce697eb7b0,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0249b835c1c386c2d5993477fe085ed93dc685a3c4cbf99a18f89e4c91560072,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
02560302b03997b8e4fed7d9a3be0b507f80556cce3c7519595b9747281a1fb6,02560302b03997b8e4fed7d9a3be0b507f80556cce3c7519595b9747281a1fb6,1
025ec1ba3ed745652fc315c15f76f3bca6163143e6610642c77b1e5979bd5f01,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
02611e2fdd7d730bddbd654baf24f03a739704bcb34c010c3cb54d3069087eea,02611e2fdd7d730bddbd654baf24f03a739704bcb34c010c3cb54d3069087eea,4
02611e2fdd7d730bddbd654baf24f03a739704bcb34c010c3cb54d3069087eea,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,4
02611e2fdd7d730bddbd654baf24f03a739704bcb34c010c3cb54d3069087eea,b4c5286fbf6443dd4df37457f3ef23a2b71253b1c86452f824e8856befba3483,2
02611e2fdd7d730bddbd654baf24f03a739704bcb34c010c3cb54d3069087eea,f0c9669d6f2a1f6512c1b3e4f31db09d50247a213ebf32f021251051a0d47d04,3
026cb868284be0c6666baf09b627e67afd950fa8720cb253eadd8fa5bf116a97,026cb868284be0c6666baf09b627e67afd950fa8720cb253eadd8fa5bf116a97,1
027348e5bc7507f560c0244ad144e7b87af72d7673acae6a752c859755bad3ca,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
027801748241a67396c80f8733c41a3cc5c118a5de67cdbebc59700f068faee0,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
